Metabolite,HMDB Name,Shift (ppm),Hs,Type,J (Hz),Height,Physiological Charge,SMILES,InChlKey,pKa (Strongest Acidic),pKa (Strongest Basic),Blood,Urine,Feces,Saliva,Cerebrospinal Fluid (CSF),Amniotic Fluid,Aqueous Humour,Ascites Fluid,Breast Milk,Lymph,Sweat,Tears
3-Methyladipic acid,HMDB00555,2.395,1,m,NA,0.5609,-2,C[C@@H](CCC(O)=O)CC(O)=O,InChIKey=SYEOWUNSTUDKGM-YFKPBYRVSA-N,1.19,-3.8,NaN,6.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cyclohexanone,HMDB03315,2.395,4,t,6.79,1,0,O=C1CCCCC1,InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N,14.58,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Deoxycorticosterone,HMDB00016,2.395,2,m,NA,0.1012,0,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=ZESRJSPZRDMNHY-YFWFAHHUSA-N,-1.9,-2.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Deoxycytidine,HMDB00014,2.395,2,m,NA,0.5588,0,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,InChIKey=CKTSBUTUHBMZGZ-SHYZEUOFSA-N,10.39,9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ergocalciferol,HMDB00900,2.395,1,m,NA,0.0042,0,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,InChIKey=MECHNRXZTMCUDQ-RKHKHRCZSA-N,3.25,-6.3,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Oxalacetic acid,HMDB00223,2.395,4,s,NA,1,-2,OC(=O)CC(=O)C(O)=O,InChIKey=KHPXUQMNIQBQEV-UHFFFAOYSA-N,4.25,-2.9,NaN,NaN,NaN,NaN,17.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Flavin Mononucleotide,HMDB01520,2.405,12,s,NA,0.1545,-3,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2,InChIKey=FVTCRASFADXXNN-SCRDCRAPSA-N,0.83,-3.6,0.0075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FAD,HMDB01248,2.405,3,s,NA,0.9905,-3,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2,InChIKey=VWWQXMAJTJZDQX-UYBVJOGSSA-N,10.59,-2.6,0.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Iso-Valeraldehyde,HMDB06478,2.405,2,dd,6.90 2.50,0.14,0,CC(C)CC=O,InChIKey=YGHRJJRRZDOVPD-UHFFFAOYSA-N,1.89,-6.6,0.11,NaN,NaN,NaN,14.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Succinic acid,HMDB00254,2.405,93,s,NA,1,-2,OC(=O)CCC(O)=O,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-N,11.66,-3,16.1,4.758333333,NaN,1192.575,20.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pyroglutamic acid,HMDB00267,2.405,31,m,NA,0.7466,-1,OC(=O)[C@@H]1CCC(=O)N1,InChIKey=ODHCTXKNWHHXJC-VKHMYHEASA-N,12.7,-0.88,19.5,14,NaN,30.19,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17-alpha.20-alpha-Dihydroxypregn-4-en-3-one,HMDB11653,2.405,2,m,NA,0.0885,0,[H][C@@]12CC[C@](O)([C@H](C)O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=MASCESDECGBIBB-HNXXTFFGSA-N,1.86,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5alpha-Cholestanone,HMDB00871,2.405,1,m,NA,0.0763,0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,InChIKey=PESKGJQREUXSRR-UXIWKSIVSA-N,1.78,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FADH,HMDB01197,2.405,3,s,NA,0.9905,-2,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=C(N2)C(=O)NC(=O)N1,InChIKey=YPZRHBJKEMOYQH-UYBVJOGSSA-N,3.63,-3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Androstanedione,HMDB00899,2.405,1,dd,13.81 6.51,0.0633,0,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,InChIKey=RAJWOBJTTGJROA-WZNAKSSCSA-N,1.86,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pyrrolidonecarboxylic acid,HMDB00805,2.405,2,m,NA,1,-1,OC(=O)C1CCC(=O)N1,InChIKey=ODHCTXKNWHHXJC-UHFFFAOYSA-N,1.2,4.95,NaN,NaN,NaN,0.618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Saccharopine,HMDB00279,2.405,2,t,6.84,0.3191,-1,N[C@@H](CCCCN[C@@H](CCC(O)=O)C(O)=O)C(O)=O,InChIKey=ZDGJAHTZVHVLOT-YUMQZZPRSA-N,4.48,-2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Levulinic acid,HMDB00720,2.407,2,t,6.8,0.4655,-1,CC(=O)CCC(O)=O,InChIKey=JOOXCMJARBKPKM-UHFFFAOYSA-N,-0.99,-0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Doxylamine,HMDB01936,2.413,6,s,NA,1,1,CN(C)CCOC(C)(C1=CC=CC=C1)C1=NC=CC=C1,InChIKey=HCFDWZZGGLSKEP-UHFFFAOYSA-N,4.63,8.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitamin D3,HMDB00876,2.415,1,m,NA,0.0156,0,CC(C)CCC[C@@H](C)[C@H]1CCC2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,InChIKey=QYSXJUFSXHHAJI-QWSSABAFSA-N,1.1,-3.6,0.03705,NaN,NaN,0.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Succinylacetone,HMDB00635,2.415,1,t,6.47,0.3575,-1,CC(=O)CC(=O)CCC(O)=O,InChIKey=WYEPBHZLDUPIOD-UHFFFAOYSA-N,4.02,-1.4,0.0815,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,NaN,NaN
Decanal,HMDB11623,2.415,2,td,NA,0.0366,0,CCCCCCCCCC=O,InChIKey=KSMVZQYAVGTKIV-UHFFFAOYSA-N,1.86,-3,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Decanoylcarnitine,HMDB00651,2.415,2,t,7.53,0.1034,0,CCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C,InChIKey=LZOSYCMHQXPBFU-UHFFFAOYSA-N,5,-6.2,0.2005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Deoxyuridine,HMDB00012,2.415,14,m,NA,0.1028,0,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,InChIKey=MXHRCPNRJAMMIM-SHYZEUOFSA-N,4,-9.7,0.284,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Beta-Leucine,HMDB03640,2.415,1,dd,16.78 9.30,0.2107,0,CC(C)[C@@H](N)CC(O)=O,InChIKey=GLUJNGJDHCTUJY-YFKPBYRVSA-N,14.58,-3,4.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N-Acetylaspartylglutamic acid,HMDB01067,2.415,3,t,7.59,0.2427,-3,CC(=O)NC(CC(O)=O)C(=O)NC(CCC(O)=O)C(O)=O,InChIKey=OPVPGKGADVGKTG-UHFFFAOYSA-N,0.83,4.95,4.89,NaN,NaN,NaN,3.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tolnaftate,HMDB05005,2.415,3,s,NA,0.1241,0,CN(C(=S)OC1=CC2=CC=CC=C2C=C1)C1=CC=CC(C)=C1,InChIKey=FUSNMLFNXJSCDI-UHFFFAOYSA-N,1.87,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monomethyl glutaric acid,HMDB00858,2.415,2,t,7.51,0.2367,-1,COC(=O)CCCC(O)=O,InChIKey=IBMRTYCHDPMBFN-UHFFFAOYSA-N,3.13,-7.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
(R)-3-Hydroxybutyric acid,HMDB00011,2.417,1,dd,14.39 7.33,0.2342,-1,C[C@@H](O)CC(O)=O,InChIKey=WHBMMWSBFZVSSR-GSVOUGTGSA-N,3.37,4.09,53.33333333,25.8,NaN,NaN,286,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7-Ketocholesterol,HMDB00501,2.425,4,m,NA,0.1276,0,[H][C@@]12CCC([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C=C2CC(O)CC[C@]12C,InChIKey=YIKKMWSQVKJCOP-QJFKPLHKSA-N,4.65,-6.7,0.056333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lithocholic acid,HMDB00761,2.425,3,m,NA,0.0519,-1,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@H](O)CC[C@]12C,InChIKey=SMEROWZSTRWXGI-YPLGJCPNSA-N,1.77,-1.8,0.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pantothenic acid,HMDB00210,2.425,2,t,6.78,0.3379,-1,CC(C)(CO)C(O)C(=O)NCCC(O)=O,InChIKey=GHOKWGTUZJEAQD-UHFFFAOYSA-N,1.74,-3,4.91,NaN,NaN,0.433,3.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2-Hydroxyestrone,HMDB00343,2.425,1,dd,NA,0.0705,0,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(O)=C3,InChIKey=SWINWPBPEKHUOD-JPVZDGGYSA-N,4,-2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2-Methoxyestrone,HMDB00010,2.425,1,dd,NA,0.0311,0,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3,InChIKey=WHEUWNKSCXYKBU-QPWUGHHJSA-N,1.87,10,NaN,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3-Hydroxytetradecanedioic acid,HMDB00394,2.425,1,dd,NA,0.0177,-2,OC(CCCCCCCCCCC(O)=O)CC(O)=O,InChIKey=CEDZIURHISELSQ-UHFFFAOYSA-N,17.39,-1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nutriacholic acid,HMDB00467,2.425,5,m,NA,0.1322,-1,[H][C@@]12CCC([C@@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C[C@]2([H])C[C@H](O)CC[C@]12C,InChIKey=DXOCDBGWDZAYRQ-QPVZPPSOSA-N,3.78,-0.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3-Hydroxybutyric acid,HMDB00357,2.429,14,m,NA,NA,-1,CC(O)CC(O)=O,InChIKey=WHBMMWSBFZVSSR-UHFFFAOYSA-N,18.3,-2.8,73.81666667,0.906666667,NaN,3.88,43.46666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Etiocholanolone,HMDB00490,2.435,1,dd,NA,0.0541,0,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C,InChIKey=QGXBDMJGAMFCBF-BNSUEQOYSA-N,3.89,9.5,0.0013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Progesterone,HMDB01830,2.435,2,m,NA,0.1161,0,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=RJKFOVLPORLFTN-LEKSSAKUSA-N,11.17,-6.2,0.0025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hexanal,HMDB05994,2.435,2,td,7.40 1.87,0.0913,0,CCCCCC=O,InChIKey=JARKCYVAAOWBJS-UHFFFAOYSA-N,1.83,-3.6,0.22,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bilirubin,HMDB00054,2.435,4,br. s.,NA,0.279,-2,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,InChIKey=BPYKTIZUTYGOLE-IFADSCNNSA-N,3.6,-0.54,11.6,NA,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4-Hydroxyproline,HMDB00725,2.435,2,m,14.06 7.97 1.83,0.4874,0,O[C@H]1CN[C@@H](C1)C(O)=O,InChIKey=PMMYEEVYMWASQN-DMTCNVIQSA-N,13.86,4,12.4,NA,NaN,0.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PC(16:0/16:0),HMDB00564,2.435,5,m,NA,0.0495,0,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,InChIKey=KILNVBDSWZSGLL-KXQOOQHDSA-N,4.6,-2.9,584.557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pteroyltriglutamic acid,HMDB01902,2.435,2,m,NA,0.0576,-4,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(O)=O)C(O)=O)C(O)=O)C(O)=O)=CN=C2N1,InChIKey=WOLQREOUPKZMEX-UHFFFAOYSA-N,13.42,-0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-Hydroxysebacic acid,HMDB00350,2.435,1,dd,NA,0.032,-2,OC(CCCCCCC(O)=O)CC(O)=O,InChIKey=OQYZCCKCJQWHIE-UHFFFAOYSA-N,19.09,-4.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Epitestosterone,HMDB00628,2.435,1,m,NA,0.0522,0,[H][C@@]12CC[C@@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=MUMGGOZAMZWBJJ-KZYORJDKSA-N,3.89,4.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gabapentin,HMDB05015,2.435,2,s,NA,1,0,NCC1(CC(O)=O)CCCCC1,InChIKey=UGJMXCAKCUNAIE-UHFFFAOYSA-N,1.87,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hexanoylcarnitine,HMDB00705,2.435,1,dt,7.47 3.09,0.0688,0,CCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C,InChIKey=VVPRQWTYSNDTEA-UHFFFAOYSA-N,11.39,-6.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Methyl isobutyl ketone,HMDB02939,2.435,2,dd,7.15 0.55,0.1634,0,CC(C)CC(C)=O,InChIKey=NTIZESTWPVYFNL-UHFFFAOYSA-N,1.31,4.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Oxoadipic acid,HMDB00225,2.435,3,m,NA,1,-2,OC(=O)CCCC(=O)C(O)=O,InChIKey=FGSBNBBHOZHUBO-UHFFFAOYSA-N,13.8,-3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Oxoglutaric acid,HMDB00208,2.443,6,t,6.95,1,-2,OC(=O)CCC(=O)C(O)=O,InChIKey=KPGXRSRHYNQIFN-UHFFFAOYSA-N,11.3,-3.7,7.95,NA,NaN,NaN,5.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Androstenedione,HMDB00053,2.445,12,m,NA,0.1129,0,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=AEMFNILZOJDQLW-QAGGRKNESA-N,18.2,-7.4,0.0059,0.0068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
L-Octanoylcarnitine,HMDB00791,2.445,2,dt,7.40 2.63,0.0706,0,CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,InChIKey=CXTATJFJDMJMIY-CYBMUJFWSA-N,3.6,3.19,0.1755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Allantoin,HMDB00462,2.445,2,dd,9.27 6.68,0.0688,0,NC(=O)NC1NC(=O)NC1=O,InChIKey=POJWUDADGALRAB-UHFFFAOYSA-N,2.35,-3.8,2.1,10.65666667,NaN,18.9,9.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canrenone,HMDB03033,2.445,4,m,NA,0.0478,0,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@]12C,InChIKey=UJVLDDZCTMKXJK-WNHSNXHDSA-N,6.68,-0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-Hydroxymethylglutaric acid,HMDB00355,2.445,4,q,NA,0.5943,-2,CC(O)(CC(O)=O)CC(O)=O,InChIKey=NPOAOTPXWNWTSH-UHFFFAOYSA-N,1.79,-1.6,NaN,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Prostaglandin D2,HMDB01403,2.455,1,dd,NA,0.0167,-1,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(O)=O)[C@@H](O)CC1=O,InChIKey=BHMBVRSPMRCCGG-OUTUXVNYSA-N,3.65,5.53,2.00E-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16-Dehydroprogesterone,HMDB00995,2.455,2,m,NA,0.1504,0,[H][C@@]12CC=C(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=VRRHHTISESGZFN-RKFFNLMFSA-N,2.52,-0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-Ketoglutaric acid oxime,HMDB02467,2.455,2,m,NA,0.3535,-2,O\N=C(/CCC(O)=O)C(O)=O,InChIKey=RSXBEVMDACDZRB-ZZXKWVIFSA-N,1.87,-6.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D-Glutamine,HMDB03423,2.455,2,m,7.80 7.66,0.8451,0,N[C@H](CCC(N)=O)C(O)=O,InChIKey=ZDXPYRJPNDTMRX-GSVOUGTGSA-N,14.58,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Epiandrosterone,HMDB00365,2.455,1,dd,19.29 8.69,0.0772,0,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@@H](O)CC[C@]12C,InChIKey=QGXBDMJGAMFCBF-QRIARFFBSA-N,9.61,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ureidosuccinic acid,HMDB00828,2.455,0,d,9.68,0.6269,-2,NC(=O)N[C@@H](CC(O)=O)C(O)=O,InChIKey=HLKXYZVTANABHZ-REOHCLBHSA-N,10.97,7.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
L-Glutamine,HMDB00641,2.461,2,m,NA,0.8876,0,N[C@@H](CCC(N)=O)C(O)=O,InChIKey=ZDXPYRJPNDTMRX-VKHMYHEASA-N,2.97,-1.5,529.6666667,30.04,NaN,NA,501,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pyridoxal,HMDB01545,2.463,5,s,NA,0.1728,0,CC1=C(O)C(C=O)=C(CO)C=N1,InChIKey=RADKZDMFGJYCBB-UHFFFAOYSA-N,0.83,-4.9,0.251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pyridoxine,HMDB00239,2.465,5,s,NA,1,0,CC1=NC=C(CO)C(CO)=C1O,InChIKey=LXNHXLLTXMVWPM-UHFFFAOYSA-N,-2.1,-1.9,0.025,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3-Hydroxyglutaric acid,HMDB00428,2.465,3,dd,NA,0.9669,-2,OC(CC(O)=O)CC(O)=O,InChIKey=ZQHYXNSQOIDNTL-UHFFFAOYSA-N,5.09,-1.4,0.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ibuprofen,HMDB01925,2.465,2,d,7.18,0.2454,-1,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,InChIKey=HEFNNWSXXWATRW-UHFFFAOYSA-N,12.2,3.34,242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Danazol,HMDB02835,2.465,3,m,NA,0.1148,0,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC3=C(C[C@]12C)C=NO3,InChIKey=POZRVZJJTULAOH-LHZXLZLDSA-N,2.89,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delta-Hexanolactone,HMDB00453,2.465,0,m,NA,0.0879,0,CC1CCCC(=O)O1,InChIKey=RZTOWFMDBDPERY-UHFFFAOYSA-N,1.86,5.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(S)-3-Hydroxybutyric acid,HMDB00442,2.465,2,d,6.59,0.7446,-1,C[C@H](O)CC(O)=O,InChIKey=WHBMMWSBFZVSSR-VKHMYHEASA-N,1.86,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Androstanedione,HMDB00899,2.465,1,m,NA,0.0985,0,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,InChIKey=RAJWOBJTTGJROA-WZNAKSSCSA-N,1.86,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Deoxycorticosterone,HMDB00016,2.465,2,m,NA,0.1193,0,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=ZESRJSPZRDMNHY-YFWFAHHUSA-N,-1.9,-2.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Epietiocholanolone,HMDB00546,2.465,1,dd,19.21 8.82,0.103,0,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@@H](O)CC[C@]12C,InChIKey=QGXBDMJGAMFCBF-XRJZGPCZSA-N,4.14,-2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dehydroepiandrosterone,HMDB00077,2.475,4,dd,NA,0.0841,0,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C)C1CCC2=O,InChIKey=FMGSKLZLMKYGDP-INNQQZFDSA-N,1.49,9.22,0.023,0.0658,NaN,0.0033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Isocitric acid,HMDB00193,2.475,6,dq,NA,1,-3,OC(C(CC(O)=O)C(O)=O)C(O)=O,InChIKey=ODBLHEXUDAPZAU-UHFFFAOYSA-N,1.15,6.13,6,26.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pyruvic acid,HMDB00243,2.475,3,s,NA,1,-1,CC(=O)C(O)=O,InChIKey=LCTONWCANYUPML-UHFFFAOYSA-N,9.67,-2.8,58.5,10.9937,NaN,2717.69,107,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Coenzyme A,HMDB01423,2.475,2,t,6.55,0.3083,-4,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS,InChIKey=RGJOEKWQDUBAIZ-DRCCLKDXSA-N,16.92,3.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butanone,HMDB00474,2.475,2,q,7.31,0.2624,0,CCC(C)=O,InChIKey=ZWEHNKRNPOVVGH-UHFFFAOYSA-N,2.03,-3.7,NaN,5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ureidosuccinic acid,HMDB00828,2.475,0,d,9.63,0.6622,-2,NC(=O)N[C@@H](CC(O)=O)C(O)=O,InChIKey=HLKXYZVTANABHZ-REOHCLBHSA-N,10.97,7.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Citramalic acid,HMDB00426,2.485,1,d,15.66,0.2276,-2,CC(O)(CC(O)=O)C(O)=O,InChIKey=XFTRTWQBIOMVPK-UHFFFAOYSA-N,11.6,9.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Epitestosterone,HMDB00628,2.485,1,d,5.01,0.0148,0,[H][C@@]12CC[C@@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=MUMGGOZAMZWBJJ-KZYORJDKSA-N,3.89,4.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
